,VRYieldVOl,row,col,CropSeason,CropName,Relative_Elevation1,Slope1,TRI1,TPI1,Elevation1,SeedingDensity,SeedingDensity_missing,Application_1_N_rate,Application_1_N_date,Application_2_N_rate,Application_2_N_date,Application_3_N_rate,Application_3_N_date,Application_4_N_rate,Application_4_N_date,Application_5_N_rate,Application_5_N_date,Application_6_N_rate,Application_6_N_date,Application_7_N_rate,Application_7_N_date,Application_8_N_rate,Application_8_N_date,Application_9_N_rate,Application_9_N_date,Application_10_N_rate,Application_10_N_date,ph_mean_30_60,clay_mean_30_60,silt_mean_30_60,sand_mean_30_60,ksat_mean_30_60,om_mean_30_60,GDD2,Precipitation2,GDD3,Precipitation3,GDD4,Precipitation4,GDD5,Precipitation5,GDD6,Precipitation6,GDD7,Precipitation7,GDD8,Precipitation8,GDD9,Precipitation9,GDD10,Precipitation10,GDD11,Precipitation11,Trait1,Trait2,Trait3,Trait4,Trait5,FIPSCode,PlantingDay1,HarvestDay
0,0,0,66,2008,SORGHUM,0.914516509,,,,56.15708542,0,0,0,43,0,129,0,115,0,134,0,140,0,122,0,181,0,125,0,150,0,74,7.629487038,44.25707245,25.58624268,26.94222832,0.328581899,1.231911778,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,0,0,0,0,0,-99,68,187
1,14.955957,56,9,2008,SORGHUM,-0.687806904,,0.376390249,1.942533731,53.92959976,0,0,0,43,0,129,0,115,33.34631836,134,0.176802194,140,0,122,0,181,0,125,0,150,63.41594925,74,7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,0,0,0,0,0,-99,68,187
2,0.00118528,56,10,2008,SORGHUM,-0.949772358,,0.411158711,1.866933107,53.56542587,0,0,0,43,0,129,0,115,33.34631836,134,0.176802194,140,0,122,0,181,0,125,0,150,63.41594925,74,7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,0,0,0,0,0,-99,68,187
3,2.4965706,56,11,2008,SORGHUM,-0.73736757,,0.312600017,2.490571976,53.86070251,0,0,0,43,0,129,0,115,8.470982666,134,0.176802194,140,0,122,0,181,0,125,0,150,83.0151432,74,7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,0,0,0,0,0,-99,68,187
4,0,56,12,2008,SORGHUM,-0.713913977,,0.319262147,2.851370335,53.89330673,0,0,0,43,0,129,0,115,7.415574799,134,0.459212112,140,0,122,0,181,0,125,0,150,78.91634331,74,7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,0,0,0,0,0,-99,68,187
5,0,56,13,2008,SORGHUM,-0.713913977,,0.283218473,3.169682026,53.89330673,0,0,0,43,0,129,0,115,7.415574799,134,0.314016867,140,0,122,0,181,0,125,0,150,190.7385452,74,7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,0,0,0,0,0,-99,68,187
6,71.64669,56,14,2008,SORGHUM,-1.037094235,,0.405512184,2.71265626,53.44403458,0,0,0,43,0,129,0,115,7.6219384,134,0.251594067,140,0,122,0,181,0,125,0,150,79.69568939,74,7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,0,0,0,0,0,-99,68,187
7,73.234985,56,15,2008,SORGHUM,-0.956852078,,0.374394447,2.376311779,53.55558395,0,0,0,43,0,129,0,115,14.23678299,134,0.220649958,140,0,122,0,181,0,125,0,150,79.32044621,74,7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,0,0,0,0,0,-99,68,187
8,70.47569,56,16,2008,SORGHUM,-1.190495968,,0.455927998,1.57001698,53.23078156,0,0,0,43,0,129,0,115,6.641724243,134,0.202400994,140,0,122,0,181,0,125,0,150,81.22552185,74,7.425739765,37.78022385,21.6675396,36.38300705,2.372146368,1.097830057,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,0,0,0,0,0,-99,68,187
9,68.2906,56,17,2008,SORGHUM,-1.266018271,,0.46722582,1.231651783,53.12579346,0,0,0,43,0,129,0,115,7.03014595,134,0.196526468,140,0,122,0,181,0,125,0,150,79.14725704,74,7.53841877,41.67388916,23.73578644,31.16685295,0.539286017,1.158501387,441.774,2.32,523.656,43.22,693.342,57.18,940.446,29.53,1032.147,2.54,1010.412,137.92,1051.011,160.73,889.479,69.7,693.243,60.92,493.497,18.89,0,0,0,0,0,-99,68,187
